Date,High,Low,Open,Close,Volume,Adj Close
2020-02-24,28402.9296875,27912.439453125,28402.9296875,27960.80078125,452580000,27960.80078125
2020-02-25,28149.19921875,26997.619140625,28037.650390625,27081.359375,513270000,27081.359375
2020-02-26,27542.779296875,26890.970703125,27159.4609375,26957.58984375,472450000,26957.58984375
2020-02-27,26775.310546875,25752.8203125,26526.0,25766.640625,664980000,25766.640625
2020-02-28,25494.240234375,24681.009765625,25270.830078125,25409.359375,915990000,25409.359375
2020-03-02,26706.169921875,25391.9609375,25590.509765625,26703.3203125,637200000,26703.3203125
2020-03-03,27084.58984375,25706.279296875,26762.470703125,25917.41015625,647080000,25917.41015625
2020-03-04,27102.33984375,26286.310546875,26383.6796875,27090.859375,457590000,27090.859375
2020-03-05,26671.919921875,25943.330078125,26671.919921875,26121.279296875,477370000,26121.279296875
2020-03-06,25994.380859375,25226.619140625,25457.2109375,25864.779296875,599780000,25864.779296875
2020-03-09,24992.359375,23706.0703125,24992.359375,23851.01953125,750430000,23851.01953125
2020-03-10,25020.990234375,23690.33984375,24453.0,25018.16015625,654860000,25018.16015625
2020-03-11,24604.630859375,23328.3203125,24604.630859375,23553.220703125,663960000,23553.220703125
2020-03-12,22837.94921875,21154.4609375,22184.7109375,21200.619140625,908260000,21200.619140625
2020-03-13,23189.759765625,21285.369140625,21973.8203125,23185.619140625,843080000,23185.619140625
2020-03-16,21768.279296875,20116.4609375,20917.529296875,20188.51953125,770130000,20188.51953125
2020-03-17,21379.349609375,19882.259765625,20487.05078125,21237.380859375,793060000,21237.380859375
2020-03-18,20489.330078125,18917.4609375,20188.689453125,19898.919921875,871360000,19898.919921875
2020-03-19,20442.630859375,19177.130859375,19830.009765625,20087.189453125,780300000,20087.189453125
2020-03-20,20531.259765625,19094.26953125,20253.150390625,19173.98046875,872290000,19173.98046875
2020-03-23,19121.009765625,18213.650390625,19028.359375,18591.9296875,787970000,18591.9296875
2020-03-24,20737.69921875,19649.25,19722.189453125,20704.91015625,799340000,20704.91015625
2020-03-25,22019.9296875,20538.33984375,21050.33984375,21200.55078125,796320000,21200.55078125
2020-03-26,22595.060546875,21427.099609375,21468.380859375,22552.169921875,705180000,22552.169921875
2020-03-27,22327.5703125,21469.26953125,21898.470703125,21636.779296875,588830000,21636.779296875
2020-03-30,22378.08984375,21522.080078125,21678.220703125,22327.48046875,545540000,22327.48046875
2020-03-31,22480.369140625,21852.080078125,22208.419921875,21917.16015625,571210000,21917.16015625
2020-04-01,21487.240234375,20784.4296875,21227.380859375,20943.509765625,506680000,20943.509765625
2020-04-02,21477.76953125,20735.01953125,20819.4609375,21413.439453125,529540000,21413.439453125
2020-04-03,21447.810546875,20863.08984375,21285.9296875,21052.529296875,450010000,21052.529296875
2020-04-06,22783.44921875,21693.630859375,21693.630859375,22679.990234375,610760000,22679.990234375
2020-04-07,23617.240234375,22634.44921875,23537.439453125,22653.859375,594660000,22653.859375
2020-04-08,23513.400390625,22682.990234375,22893.470703125,23433.5703125,472740000,23433.5703125
2020-04-09,24008.990234375,23504.08984375,23690.66015625,23719.369140625,566400000,23719.369140625
2020-04-13,23698.9296875,23095.349609375,23698.9296875,23390.76953125,394320000,23390.76953125
2020-04-14,24040.580078125,23683.439453125,23690.5703125,23949.759765625,485910000,23949.759765625
2020-04-15,23649.720703125,23233.3203125,23600.720703125,23504.349609375,437630000,23504.349609375
2020-04-16,23598.080078125,23211.380859375,23543.66015625,23537.6796875,471050000,23537.6796875
2020-04-17,24264.2109375,23817.150390625,23817.150390625,24242.490234375,530277705,24242.490234375
